sub_house_id,house,synset,goal,vis_pix_nav,vis_pix_manip,eps_len,in_room,narrow==broad,broad_extra
6,2986,mug.n.04,search for a mug,0,0,47,False,True,
77,14457,vase.n.01,locate a vase,512,319,600,True,False,Vase|6|22
4,1852,mug.n.04,go to a mug,0,0,187,False,True,
125,14286,ashcan.n.01,locate a trash can,0,0,197,False,True,
15,8786,basketball.n.02,navigate to a basketball,0,0,600,False,True,
156,14454,bed.n.01,find a bed,0,438,600,True,True,
65,13265,bowl.n.03,find a bowl,0,0,600,False,True,
55,11295,sofa.n.01,navigate to a sofa,0,0,2,False,True,
175,13708,laptop.n.01,navigate to a laptop,0,0,131,False,False,Laptop|8|89
117,13975,laptop.n.01,locate a laptop,0,0,181,False,True,
24,10248,vase.n.01,locate a vase,665,415,377,True,False,Vase|8|98
132,13352,bowl.n.03,find a bowl,0,0,600,False,False,Bowl|8|59
46,13943,bowl.n.03,go to a bowl,84,82,184,True,True,
100,12500,television_receiver.n.01,navigate to a television,0,0,600,False,False,television|8|3|1
3,1730,mug.n.04,search for a mug,129,0,53,True,True,
176,14702,alarm_clock.n.01,navigate to an alarm clock,0,0,450,False,True,
190,14320,ashcan.n.01,go to a trash can,0,0,600,False,True,
110,13458,laptop.n.01,search for a laptop,142,0,99,True,False,Laptop|9|63
120,13419,ashcan.n.01,go to a trash can,4683,4228,600,True,True,
5,2819,basketball.n.02,locate a basketball,0,0,600,False,True,
0,420,mug.n.04,find a mug,0,0,8,True,False,ObjaMug|2|33
17,8828,mug.n.04,go to a mug,16,61,600,True,True,
87,13623,alarm_clock.n.01,locate an alarm clock,46,0,136,True,True,
62,13422,alarm_clock.n.01,find an alarm clock,0,0,600,False,False,AlarmClock|6|29
68,12479,atomizer.n.01,locate a spray bottle,160,0,16,True,True,
196,14568,atomizer.n.01,navigate to a spray bottle,0,0,113,False,True,
13,8224,basketball.n.02,navigate to a basketball,0,0,179,False,True,
