task_key,house_index,target_synset,success,episode_length,expert_length,broad_target_ids_json,broad_target_count,candidate_asset_bbox_count,physical_size_volume,physical_size_max_side,physical_size_status,failure_termination_type,initial_target_distance,max_nav_visible_pixels,has_agent_been_in_room,raw_source_status
ObjectNavType/val/013653/raw_navigation_camera__0.mp4,13653,alarm_clock.n.01,True,28,30,"[""AlarmClock|4|5""]",1,0,,,UNVALIDATED_METADATA_GATE_BLOCKED,NOT_DERIVED_GATE_BLOCKED,,,True,EXISTING_HISTORICAL_EVIDENCE_NO_NEW_ROLLOUT
ObjectNavType/val/013125/raw_navigation_camera__0.mp4,13125,bowl.n.03,True,61,60,"[""Bowl|4|24"", ""Bowl|6|40""]",2,0,,,UNVALIDATED_METADATA_GATE_BLOCKED,NOT_DERIVED_GATE_BLOCKED,,,True,EXISTING_HISTORICAL_EVIDENCE_NO_NEW_ROLLOUT
ObjectNavType/val/011157/raw_navigation_camera__0.mp4,11157,straight_chair.n.01,True,21,27,"[""chair-diningtable-2|4|1|1"", ""chair-diningtable-2|4|1|2"", ""chair-diningtable-4|5|2|1"", ""chair-diningtable-4|5|2|2"", ""chair-diningtable-4|5|2|3"", ""chair-diningtable-4|5|2|4"", ""chair-diningtable|2|2|1"", ""desk-with-chair|6|2|1""]",8,0,,,UNVALIDATED_METADATA_GATE_BLOCKED,NOT_DERIVED_GATE_BLOCKED,,,True,EXISTING_HISTORICAL_EVIDENCE_NO_NEW_ROLLOUT
ObjectNavType/val/002986/raw_navigation_camera__0.mp4,2986,mug.n.04,False,47,84,"[""ObjaMug|2|1""]",1,1,,,UNVALIDATED_METADATA_GATE_BLOCKED,NOT_DERIVED_GATE_BLOCKED,,,False,EXISTING_HISTORICAL_EVIDENCE_NO_NEW_ROLLOUT
ObjectNavType/val/010940/raw_navigation_camera__0.mp4,10940,basketball.n.02,True,81,71,"[""ObjaBasketball|6|45"", ""ObjaBasketball|8|65""]",2,2,,,UNVALIDATED_METADATA_GATE_BLOCKED,NOT_DERIVED_GATE_BLOCKED,,,True,EXISTING_HISTORICAL_EVIDENCE_NO_NEW_ROLLOUT
ObjectNavType/val/011549/raw_navigation_camera__0.mp4,11549,ashcan.n.01,True,92,82,"[""ObjaTrashCan|5|2""]",1,1,,,UNVALIDATED_METADATA_GATE_BLOCKED,NOT_DERIVED_GATE_BLOCKED,,,True,EXISTING_HISTORICAL_EVIDENCE_NO_NEW_ROLLOUT
ObjectNavType/val/011131/raw_navigation_camera__0.mp4,11131,atomizer.n.01,True,35,48,"[""SprayBottle|3|15""]",1,0,,,UNVALIDATED_METADATA_GATE_BLOCKED,NOT_DERIVED_GATE_BLOCKED,,,True,EXISTING_HISTORICAL_EVIDENCE_NO_NEW_ROLLOUT
ObjectNavType/val/013549/raw_navigation_camera__0.mp4,13549,ashcan.n.01,True,6,15,"[""ObjaTrashCan|5|2""]",1,1,,,UNVALIDATED_METADATA_GATE_BLOCKED,NOT_DERIVED_GATE_BLOCKED,,,True,EXISTING_HISTORICAL_EVIDENCE_NO_NEW_ROLLOUT
ObjectNavType/val/014901/raw_navigation_camera__0.mp4,14901,straight_chair.n.01,True,11,15,"[""chair-diningtable-2|3|2|1"", ""chair-diningtable-2|3|2|2""]",2,0,,,UNVALIDATED_METADATA_GATE_BLOCKED,NOT_DERIVED_GATE_BLOCKED,,,True,EXISTING_HISTORICAL_EVIDENCE_NO_NEW_ROLLOUT
ObjectNavType/val/014636/raw_navigation_camera__0.mp4,14636,alarm_clock.n.01,True,28,31,"[""AlarmClock|7|63""]",1,0,,,UNVALIDATED_METADATA_GATE_BLOCKED,NOT_DERIVED_GATE_BLOCKED,,,True,EXISTING_HISTORICAL_EVIDENCE_NO_NEW_ROLLOUT
