sub_house_id,task_key,house_index,category,goal,expert_length,episode_length,end_step_0based,end_decision_1based,final_executed_action,confirmed_invalid_end,reliable_trace,p_end_step0,max_p_end_first5,max_p_end_before_end,p_end_at_end,delta_p_end,first_step_ge_0_5,first_step_ge_0_9,morphology,chroma_morphology,sensitivity_labels,threshold_robust,target_scope,scope_exact,narrow_ids,broad_ids,historical_narrow_vis_pix_navigation,historical_narrow_room_visited,trace_file
0,ObjectNavType/val/000420/raw_navigation_camera__0.mp4,420,['mug.n.04'],find a mug,24,8,7,8,end,True,True,0.0,0.0,0.0,1,1.0,7,7,LATE_RISE,LATE_RISE,LATE_RISE,True,AMBIGUOUS,False,"[""ObjaMilkshake|6|0""]","[""ObjaMilkshake|6|0"", ""ObjaMug|2|33""]",0,True,trace_sub0.csv
3,ObjectNavType/val/001730/raw_navigation_camera__0.mp4,1730,['mug.n.04'],search for a mug,62,53,52,53,end,True,True,0.0,0.0,0.05454545454545454,1,1.0,52,52,LATE_RISE,LATE_RISE,LATE_RISE,True,STRICT,True,"[""ObjaMilkshake|7|64""]","[""ObjaMilkshake|7|64""]",129,True,trace_sub3.csv
4,ObjectNavType/val/001852/raw_navigation_camera__0.mp4,1852,['mug.n.04'],go to a mug,74,187,186,187,end,True,True,0.0,0.0,0.09090909090909091,1,1.0,186,186,LATE_RISE,LATE_RISE,LATE_RISE,True,STRICT,True,"[""ObjaMug|4|0""]","[""ObjaMug|4|0""]",0,False,trace_sub4.csv
6,ObjectNavType/val/002986/raw_navigation_camera__0.mp4,2986,['mug.n.04'],search for a mug,84,47,46,47,end,True,True,0.0,0.0,0.0,0.7818181818181819,0.7818181818181819,46,,LATE_RISE,LATE_RISE,LATE_RISE,True,STRICT,True,"[""ObjaMug|2|1""]","[""ObjaMug|2|1""]",0,False,trace_sub6.csv
13,ObjectNavType/val/008224/raw_navigation_camera__0.mp4,8224,['basketball.n.02'],navigate to a basketball,153,179,178,179,end,True,True,0.0,0.0,0.2,0.9272727272727272,0.9272727272727272,178,178,LATE_RISE,LATE_RISE,LATE_RISE,True,STRICT,True,"[""ObjaBasketball|4|0""]","[""ObjaBasketball|4|0""]",0,False,trace_sub13.csv
24,ObjectNavType/val/010248/raw_navigation_camera__0.mp4,10248,['vase.n.01'],locate a vase,128,377,376,377,end,True,True,0.0,0.0,0.05454545454545454,0.41818181818181815,0.41818181818181815,,,OTHER_OR_UNCLEAR,OTHER_OR_UNCLEAR,OTHER_OR_UNCLEAR,True,AMBIGUOUS,False,"[""Vase|4|42"", ""Vase|6|67"", ""Vase|7|87""]","[""Vase|4|42"", ""Vase|6|67"", ""Vase|7|87"", ""Vase|8|98""]",665,True,trace_sub24.csv
46,ObjectNavType/val/013943/raw_navigation_camera__0.mp4,13943,['bowl.n.03'],go to a bowl,48,184,183,184,end,True,True,0.0,0.0,0.2,1,1.0,183,183,LATE_RISE,LATE_RISE,LATE_RISE,True,STRICT,True,"[""Bowl|6|28""]","[""Bowl|6|28""]",84,True,trace_sub46.csv
55,ObjectNavType/val/011295/raw_navigation_camera__0.mp4,11295,['sofa.n.01'],navigate to a sofa,136,2,1,2,end,True,True,0.0,1,0.0,1,1.0,1,1,EARLY_HIGH_PRIOR,EARLY_HIGH_PRIOR,EARLY_HIGH_PRIOR,True,STRICT,True,"[""Sofa|7|0""]","[""Sofa|7|0""]",0,False,trace_sub55.csv
68,ObjectNavType/val/012479/raw_navigation_camera__0.mp4,12479,['atomizer.n.01'],locate a spray bottle,28,16,15,16,end,True,True,0.0,0.0,0.0,0.8909090909090909,0.8909090909090909,15,,LATE_RISE,LATE_RISE,LATE_RISE,True,STRICT,True,"[""SprayBottle|2|14""]","[""SprayBottle|2|14""]",160,True,trace_sub68.csv
87,ObjectNavType/val/013623/raw_navigation_camera__0.mp4,13623,['alarm_clock.n.01'],locate an alarm clock,92,136,135,136,end,True,True,0.0,0.0,0.0,1,1.0,135,135,LATE_RISE,LATE_RISE,LATE_RISE,True,STRICT,True,"[""AlarmClock|4|11""]","[""AlarmClock|4|11""]",46,True,trace_sub87.csv
110,ObjectNavType/val/013458/raw_navigation_camera__0.mp4,13458,['laptop.n.01'],search for a laptop,115,99,98,99,end,True,True,0.0,0.0,0.0,1,1.0,98,98,LATE_RISE,LATE_RISE,LATE_RISE,True,AMBIGUOUS,False,"[""Laptop|6|29""]","[""Laptop|6|29"", ""Laptop|9|63""]",142,True,trace_sub110.csv
117,ObjectNavType/val/013975/raw_navigation_camera__0.mp4,13975,['laptop.n.01'],locate a laptop,209,181,180,181,end,True,True,0.0,0.0,0.0,0.2,0.2,,,OTHER_OR_UNCLEAR,OTHER_OR_UNCLEAR,OTHER_OR_UNCLEAR,True,STRICT,True,"[""Laptop|4|32""]","[""Laptop|4|32""]",0,False,trace_sub117.csv
125,ObjectNavType/val/014286/raw_navigation_camera__0.mp4,14286,['ashcan.n.01'],locate a trash can,138,197,196,197,end,True,True,0.0,0.0,0.0,1,1.0,196,196,LATE_RISE,LATE_RISE,LATE_RISE,True,STRICT,True,"[""GarbageCan|7|1""]","[""GarbageCan|7|1""]",0,False,trace_sub125.csv
