classification,group,server_path,size,sha256,git_path,reason
MUST_GIT,diagnostics/end_causal_audit,/nvme2/user/qyy/SafeVLA/diagnostics/end_causal_audit/analysis_validation_report.md,2577,eb22413032f1a89b08966d4a0983af800c8ac2d43bae24f6c30aa35db7079840,research/history/evidence-alignment-20260919/legacy_development/diagnostics/end_causal_audit/analysis_validation_report.md,Small historical report or structured evidence absent from GitHub.
MUST_GIT,diagnostics/end_causal_audit,/nvme2/user/qyy/SafeVLA/diagnostics/end_causal_audit/canonical_final_v2/forward_topology_audit.json,10593,f77370b79b3035e3e55c6063ed664ced339128bbadbe680a75a3e41aadcf6697,research/history/evidence-alignment-20260919/legacy_development/diagnostics/end_causal_audit/canonical_final_v2/forward_topology_audit.json,Small historical report or structured evidence absent from GitHub.
PATH_HASH_ONLY,diagnostics/end_causal_audit,/nvme2/user/qyy/SafeVLA/diagnostics/end_causal_audit/canonical_final_v2/launcher.log,53036,d7d451c42e3f505c06b28871328696034a864a43e11ba7f9775a0efff37fc5a2,,"Raw runtime artifact, patch, binary, or log; retain original server bytes."
DO_NOT_SHARE_CONTROL,diagnostics/end_causal_audit,/nvme2/user/qyy/SafeVLA/diagnostics/end_causal_audit/canonical_final_v2/launcher.pid,8,246e811ded3272264f14027f0f9b9af4b7cc47fdc9093905fb6a5b98f4ff6691,,"Runtime code/launcher, environment dump, or ephemeral process state; excluded from shared control plane."
MUST_GIT,diagnostics/end_causal_audit,/nvme2/user/qyy/SafeVLA/diagnostics/end_causal_audit/canonical_final_v2/reset_state_audit.json,4745,93dd93b875338a5174d0ae1ff7ccc9602f366b2591daed2c3a0008df23b2acc4,research/history/evidence-alignment-20260919/legacy_development/diagnostics/end_causal_audit/canonical_final_v2/reset_state_audit.json,Small historical report or structured evidence absent from GitHub.
MUST_GIT,diagnostics/end_causal_audit,/nvme2/user/qyy/SafeVLA/diagnostics/end_causal_audit/canonical_final_v2/smoke_steps.jsonl,48538,0fb20f5e950049992c23fa5d534cbc72f4ac3bb4257a95eb9bf58cfcb6656978,research/history/evidence-alignment-20260919/legacy_development/diagnostics/end_causal_audit/canonical_final_v2/smoke_steps.jsonl,Small historical report or structured evidence absent from GitHub.
MUST_GIT,diagnostics/end_causal_audit,/nvme2/user/qyy/SafeVLA/diagnostics/end_causal_audit/canonical_final_v2/stop_legality_alignment.json,1662,1fdd978d2185e1ef8fb3ad48ce03d2db6ac39a650c362beb6fede35715266c71,research/history/evidence-alignment-20260919/legacy_development/diagnostics/end_causal_audit/canonical_final_v2/stop_legality_alignment.json,Small historical report or structured evidence absent from GitHub.
MUST_GIT,diagnostics/end_causal_audit,/nvme2/user/qyy/SafeVLA/diagnostics/end_causal_audit/canonical_smoke/forward_topology_audit.json,14010,eaa3f54afe1a2635f5d7dbd7c3cb73258e311e714742b194b85f8907995c137b,research/history/evidence-alignment-20260919/legacy_development/diagnostics/end_causal_audit/canonical_smoke/forward_topology_audit.json,Small historical report or structured evidence absent from GitHub.
PATH_HASH_ONLY,diagnostics/end_causal_audit,/nvme2/user/qyy/SafeVLA/diagnostics/end_causal_audit/canonical_smoke/launcher.log,52911,430c452eb5d6420ca03f2674c4a5a00d6812d79d34a6f928484045d46814d79c,,"Raw runtime artifact, patch, binary, or log; retain original server bytes."
MUST_GIT,diagnostics/end_causal_audit,/nvme2/user/qyy/SafeVLA/diagnostics/end_causal_audit/canonical_smoke/reset_state_audit.json,4742,0d914ab1d6c956585651d9442b2e3bd3cb7b734a3612645cbeb510bfde7c7b19,research/history/evidence-alignment-20260919/legacy_development/diagnostics/end_causal_audit/canonical_smoke/reset_state_audit.json,Small historical report or structured evidence absent from GitHub.
