frame,action
0,l
1,l
2,l
3,l
4,m
5,r
6,m
7,m
8,m
9,m
10,m
11,m
12,l
13,l
14,l
15,l
16,l
17,l
18,l
19,r
20,m
21,l
22,m
23,m
24,m
25,m
26,r
27,r
28,m
29,m
30,m
31,r
32,m
33,r
34,m
35,m
36,m
37,m
38,m
39,m
40,m
41,l
42,m
43,m
44,m
45,m
46,m
47,m
48,m
49,m
50,m
51,m
52,r
53,m
54,m
55,m
56,m
57,m
58,m
59,m
60,m
61,m
62,m
63,m
64,m
65,m
66,m
67,r
68,m
69,m
70,m
71,r
72,m
73,m
74,m
75,r
76,m
77,m
78,m
79,l
80,l
81,l
82,l
83,l
84,l
85,l
86,m
87,m
88,m
89,m
90,m
91,m
92,l
93,m
94,m
95,l
96,m
97,m
98,m
99,m
100,m
101,m
102,m
103,m
104,m
105,m
106,m
107,m
108,m
109,m
110,m
111,m
112,m
113,m
114,m
115,m
116,m
117,m
118,m
119,m
120,r
121,m
122,m
123,b
124,r
125,r
126,r
127,m
128,m
129,m
130,m
131,m
132,m
133,l
134,m
135,m
136,m
137,m
138,m
139,m
140,m
141,l
142,r
143,r
144,r
145,m
146,m
147,m
148,m
149,m
150,m
151,m
152,m
153,m
154,m
155,m
156,m
157,r
158,m
159,m
160,m
161,m
162,m
163,m
164,m
165,m
166,m
167,m
168,m
169,m
170,m
171,l
172,l
173,l
174,m
175,m
176,m
177,m
178,m
179,l
180,l
181,l
182,l
183,m
184,m
185,m
186,m
187,m
188,m
189,m
190,m
191,r
192,m
193,m
194,m
195,m
196,m
197,m
198,m
199,m
200,m
201,m
202,l
203,l
204,m
205,m
206,m
207,m
208,m
209,m
210,m
211,m
212,m
213,m
214,m
215,m
216,l
217,m
218,m
219,m
220,m
221,m
222,l
223,l
224,m
225,m
226,m
227,m
228,m
229,m
230,m
231,m
232,m
233,l
234,m
235,m
236,m
237,m
238,m
239,m
240,m
241,m
242,m
243,m
244,m
245,m
246,m
247,r
248,m
249,m
250,m
251,r
252,m
253,m
254,m
255,m
256,r
257,r
258,m
259,m
260,m
261,m
262,m
263,m
264,l
265,m
266,m
267,m
268,m
269,m
270,m
271,m
272,m
273,r
274,m
275,m
276,m
277,m
278,m
279,m
280,m
281,m
282,m
283,m
284,m
285,l
286,l
287,l
288,l
289,l
290,l
291,l
292,m
293,m
294,m
295,m
296,m
297,m
298,m
299,m
300,m
301,m
302,m
303,m
304,m
305,m
306,m
307,m
308,m
309,r
310,m
311,r
312,m
313,m
314,m
315,m
316,m
317,m
318,l
319,l
320,m
321,m
322,m
323,m
324,m
325,m
326,m
327,l
328,l
329,m
330,m
331,m
332,l
333,r
334,l
335,m
336,m
337,m
338,m
339,m
340,m
341,m
342,m
343,m
344,m
345,m
346,m
347,m
348,l
349,m
350,m
351,m
352,m
353,m
354,m
355,m
356,m
357,m
358,m
359,m
360,m
361,r
362,m
363,m
364,m
365,m
366,m
367,l
368,m
369,m
370,m
371,m
372,m
373,m
374,l
375,l
376,l
377,r
378,m
379,m
380,m
381,l
382,r
383,l
384,r
385,m
386,m
387,l
388,r
389,m
390,m
391,m
392,l
393,l
394,l
395,m
396,m
397,m
398,m
399,m
400,m
401,l
402,l
403,l
404,l
405,l
406,l
407,m
408,m
409,m
410,m
411,l
412,m
413,m
414,m
415,m
416,m
417,l
418,m
419,m
420,r
421,m
422,m
423,m
424,l
425,l
426,l
427,l
428,l
429,l
430,l
431,l
432,l
433,l
434,l
435,m
436,m
437,m
438,m
439,m
440,m
441,m
442,m
443,m
444,l
445,l
446,l
447,m
448,m
449,m
450,m
451,m
452,l
453,m
454,m
455,m
456,m
457,m
458,l
459,l
460,m
461,l
462,m
463,m
464,m
465,l
466,m
467,m
468,l
469,m
470,m
471,m
472,m
473,m
474,l
475,m
476,m
477,l
478,m
479,m
480,m
481,r
482,r
483,m
484,m
485,m
486,m
487,m
488,m
489,m
490,m
491,r
492,m
493,m
494,m
495,m
496,m
497,r
498,m
499,m
500,r
501,m
502,m
503,m
504,m
505,m
506,m
507,m
508,m
509,m
510,m
511,m
512,l
513,m
514,m
515,r
516,m
517,m
518,m
519,m
520,m
521,m
522,m
523,m
524,m
525,l
526,l
527,m
528,m
529,l
530,m
531,m
532,m
533,m
534,m
535,m
536,l
537,b
538,r
539,l
540,l
541,m
542,m
543,r
544,r
545,r
546,r
547,r
548,m
549,m
550,m
551,m
552,m
553,m
554,m
555,m
556,m
557,m
558,r
559,m
560,m
561,m
562,m
563,m
564,m
565,l
566,m
567,m
568,m
569,m
570,m
571,m
572,r
573,r
574,m
575,m
576,m
577,m
578,m
579,m
580,m
581,r
582,m
583,r
584,m
585,m
586,m
587,m
588,l
589,m
590,m
591,m
592,m
593,m
594,m
595,m
596,m
597,m
598,l
599,r
